0,Barony Bridge,Bobsleigh Coaster ,0,5.49,High,5.71,High,4.86,Medium,39,12,63,1496,2.59,-0.27,1.71,0,2,19,0
0,Barony Bridge,Dinghy Slide,0,4.83,Medium,5.86,High,3.5,Medium,37,11,48,1079,2.83,-0.48,2.68,0.36,4,42,0
0,Barony Bridge,Wild Mouse,0,7.64,High,7.86,Very High,4.87,Medium,31,11,70,1591,3.13,-1.7,2.15,1.44,11,22,0
0,Barony Bridge,Wooden Roller Coaster ,0,7.69,High,7.92,Very High,4.75,Medium,47,15,79,2401,3.31,-1.15,1.71,5.73,9,62,-1
1,Forest Frontiers,Junior Roller Coaster,0,5.17,High,5.54,High,3.81,Medium,34,13,51,1279,2.38,-0.26,2.45,0.72,4,39,0
2,Haunted Harbour,Side-Friction Roller Coaster,0,5.68,High,6.18,High,3.6,Medium,32,10,75,1466,2.36,-0.23,2.08,1.14,8,19,0
2,Haunted Harbour,Wooden Roller Coaster ,0,7.76,Very High,7.62,High,4.68,Medium,45,17,63,2077,3.18,-1.28,1.83,3.21,5,62,-1
2,Haunted Harbour,Wooden Wild Mouse,0,7.19,High,7.88,Very High,4.69,Medium,30,12,53,1246,3.08,-1,1.96,2.16,9,22,0
3,Mystic Mountain,Stand Up Roller Coaster,1,5.36,High,8.66,Very High,5.97,High,41,14,48,1358,4.03,-1.09,2.39,1.59,4,51,-1
3,Mystic Mountain,Wooden Roller Coaster ,1,6.33,High,7.24,High,4.56,Medium,41,9,74,1378,2.61,-0.32,2.15,0.33,2,49,-1
4,Pacific Pyramids,Compact Inverted Coaster,1,6.05,High,7.64,High,6.37,High,38,9,73,1328,3.74,-0.98,2.66,1.23,5,22,-1
4,Pacific Pyramids,Looping Roller Coaster,1,5.76,High,5.44,High,2.49,Low,36,13,50,1335,2.57,-0.91,2.47,0.93,6,39,-1
4,Pacific Pyramids,Stand Up Roller Coaster,1,2.72,Medium,5.29,High,4.25,Medium,40,12,89,2152,3.48,-0.74,3,0.93,5,19,-1
4,Pacific Pyramids,Vertical Drop Coaster,1,3.11,Medium,6.91,High,3.98,Medium,45,13,68,1762,4.2,-1.31,3.32,1.11,4,39,-1
5,Mel's World,Bobsleigh Coaster ,0,6.32,High,5.47,High,4.71,Medium,35,15,91,2700,2.4,0.72,1.49,0,1,29,0
5,Mel's World,Inverted Roller Coaster,0,7.37,High,9.57,Very High,7.63,High,51,20,65,2595,4.23,-1.64,2.61,4.11,10,62,-1
5,Mel's World,Spinning Wild Mouse,0,6.32,High,6.69,High,5.42,High,30,1,55,1246,2.25,0.01,2.11,0,6,22,0
5,Mel's World,Suspended Swinging Coaster,0,6.67,High,6.54,High,7.13,High,43,13,77,1972,3.03,-1.48,1.79,2.4,5,42,0
5,Mel's World,Dinghy Slide,1,5.28,High,5.16,High,3.3,Medium,32,8,62,981,2.34,-0.26,1.87,0.6,5,32,0
5,Mel's World,Looping Roller Coaster,1,6.42,High,7.39,High,4.2,Medium,38,12,76,1778,2.57,-0.43,2.85,0.81,6,29,-1
5,Mel's World,Vertical Drop Coaster,1,6.91,High,6.59,High,3.32,Medium,50,12,56,1581,3.66,-1.57,2.7,1.41,4,72,-1
6,Paradise Pier,Dinghy Slide,1,5.21,High,5.41,High,3.44,Medium,32,9,72,1322,2.48,-0.38,2.1,0.87,5,29,0
6,Paradise Pier,Looping Roller Coaster,1,5.7,High,5.03,Medium,2.48,Low,37,11,69,1522,2.68,-0.58,2.64,0.76,3,19,-1
6,Paradise Pier,Stand Up Roller Coaster,1,2.55,Low,3.59,Medium,2.61,Medium,34,9,58,1036,3.21,-0.17,1.82,5.1,4,22,-1
7,Gentle Glen,Junior Roller Coaster,0,5.26,High,5.29,High,3.6,Medium,34,12,60,1420,2.44,-0.2,1.07,1.11,7,22,0
7,Gentle Glen,Dinghy Slide,1,2.46,Low,2.56,Medium,1.6,Low,29,9,52,922,2.17,-0.15,2.04,0.42,5,22,0
7,Gentle Glen,Mini Roller Coaster,1,5.75,High,5.05,Medium,4.03,Medium,36,11,84,1873,2.51,-0.19,1.13,0.21,3,39,0
7,Gentle Glen,Virginia Reel,1,5.07,High,5.35,High,5.69,High,32,10,52,1030,2.34,-0.01,2.24,0.03,6,19,0
8,Jolly Jungle,Heartline Twister Coaster,0,3.12,Medium,6.6,High,4.61,Medium,39,10,33,620,2.87,-0.99,1.2,1.86,3,42,0
8,Jolly Jungle,Lay-down Roller Coaster,1,6.54,High,6.17,High,5.16,High,35,17,48,1568,2.96,-0.3,2.4,0.87,5,22,-1
8,Jolly Jungle,Virginia Reel,1,6.61,High,5.67,High,6.09,High,29,9,60,1105,2.22,-0.16,2.6,0.48,7,13,0
8,Jolly Jungle,Wooden Roller Coaster ,1,6.81,High,7.17,High,4.27,Medium,48,14,65,1801,3.01,-1.07,1.64,0.78,3,42,-1
9,Factory Capers,Looping Roller Coaster,1,5.75,High,5.96,High,3.02,Medium,41,12,84,2011,3.02,-1.37,2.8,1.71,5,22,-1
9,Factory Capers,Spiral Coaster,1,3.09,Medium,1.93,Low,1.33,Low,38,15,67,1991,2.83,-1.1,1.46,1.2,3,22,0
9,Factory Capers,Wooden Roller Coaster ,1,6.32,High,7.41,High,4.17,Medium,36,13,56,1440,2.73,-1.1,2.48,2.01,4,42,-1
10,Karts And Coasters,Wooden Roller Coaster ,0,8.46,High,8.63,Very High,4.92,Medium,53,23,57,2546,3.35,-1.43,1.84,4.5,10,82,-1
10,Karts And Coasters,Wooden Roller Coaster ,0,8.88,Very High,8.93,Very High,5.17,High,59,23,92,4091,3.64,-1.54,2.14,5.25,9,82,-1
